cod_ibge,ano,pib_total,agregado,variavel
3304557,2020,331471515.0,37,Produto Interno Bruto a preços correntes
3304557,2021,359632648.0,37,Produto Interno Bruto a preços correntes
3304557,2022,380381515.0,37,Produto Interno Bruto a preços correntes
3304557,2023,418462360.0,37,Produto Interno Bruto a preços correntes
3304904,2020,19009507.0,37,Produto Interno Bruto a preços correntes
3304904,2021,20324752.0,37,Produto Interno Bruto a preços correntes
3304904,2022,20561718.0,37,Produto Interno Bruto a preços correntes
3304904,2023,23063689.0,37,Produto Interno Bruto a preços correntes
3301702,2020,47194544.0,37,Produto Interno Bruto a preços correntes
3301702,2021,53136504.0,37,Produto Interno Bruto a preços correntes
3301702,2022,65861333.0,37,Produto Interno Bruto a preços correntes
3301702,2023,70068007.0,37,Produto Interno Bruto a preços correntes
3303500,2020,17210824.0,37,Produto Interno Bruto a preços correntes
3303500,2021,17794452.0,37,Produto Interno Bruto a preços correntes
3303500,2022,19911894.0,37,Produto Interno Bruto a preços correntes
3303500,2023,20518624.0,37,Produto Interno Bruto a preços correntes
3301009,2020,23852870.0,37,Produto Interno Bruto a preços correntes
3301009,2021,37179716.0,37,Produto Interno Bruto a preços correntes
3301009,2022,49942074.0,37,Produto Interno Bruto a preços correntes
3301009,2023,42953469.0,37,Produto Interno Bruto a preços correntes
