cod_ibge,ano,pop,agregado,variavel
3304557,2020,6747815.0,9324,População residente estimada
3304557,2021,6775561.0,9324,População residente estimada
3304557,2024,6729894.0,9324,População residente estimada
3304904,2020,1091737.0,9324,População residente estimada
3304904,2021,1098357.0,9324,População residente estimada
3304904,2024,960652.0,9324,População residente estimada
3301702,2020,924624.0,9324,População residente estimada
3301702,2021,929449.0,9324,População residente estimada
3301702,2024,866347.0,9324,População residente estimada
3303500,2020,823302.0,9324,População residente estimada
3303500,2021,825388.0,9324,População residente estimada
3303500,2024,843046.0,9324,População residente estimada
3301009,2020,511168.0,9324,População residente estimada
3301009,2021,514643.0,9324,População residente estimada
3301009,2024,519011.0,9324,População residente estimada
